time,instrument,period,high,low,open,close
2012-07-17 09:15:00,6A,5,1.0227,1.0223,1.0225,1.0225
2012-07-17 09:20:00,6A,5,1.0228,1.0223,1.0224,1.0227
2012-07-17 09:25:00,6A,5,1.0228,1.0224,1.0227,1.0224
2012-07-17 09:30:00,6A,5,1.0226,1.0223,1.0225,1.0225
2012-07-17 09:35:00,6A,5,1.023,1.0224,1.0224,1.0228
2012-07-17 09:40:00,6A,5,1.0231,1.0226,1.0228,1.0227
2012-07-17 09:45:00,6A,5,1.0229,1.0222,1.0228,1.0222
2012-07-17 09:50:00,6A,5,1.0225,1.0218,1.0223,1.022
2012-07-17 09:55:00,6A,5,1.0224,1.0217,1.0219,1.022
2012-07-17 10:00:00,6A,5,1.0224,1.0219,1.0219,1.0223
2012-07-17 10:05:00,6A,5,1.0224,1.0194,1.0223,1.0201
2012-07-17 10:10:00,6A,5,1.0204,1.0189,1.02,1.0199
2012-07-17 10:15:00,6A,5,1.0208,1.0194,1.0198,1.0207
2012-07-17 10:20:00,6A,5,1.0208,1.0198,1.0207,1.0199
2012-07-17 10:25:00,6A,5,1.0207,1.0196,1.0199,1.0205
2012-07-17 10:30:00,6A,5,1.0206,1.0196,1.0205,1.0199
2012-07-17 10:35:00,6A,5,1.0201,1.0191,1.0199,1.0194
2012-07-17 10:40:00,6A,5,1.0195,1.0178,1.0194,1.0179
2012-07-17 10:45:00,6A,5,1.0183,1.0177,1.0179,1.0181
2012-07-17 10:50:00,6A,5,1.0188,1.0178,1.0181,1.0187
2012-07-17 10:55:00,6A,5,1.0198,1.0184,1.0187,1.0193
2012-07-17 11:00:00,6A,5,1.0199,1.019,1.0192,1.0192
2012-07-17 11:05:00,6A,5,1.0198,1.019,1.0192,1.0197
